key,value,date
Akhil Sopory,0,2009
Akhil Sopory,0,2010
Akhil Sopory,0,2011
Akhil Sopory,0,2012
Akhil Sopory,0,2013
Akhil Sopory,0,2014
Akhil Sopory,0,2015
Shinji Nishiwaki,0,2002
Shinji Nishiwaki,2.0,2003
Shinji Nishiwaki,3.0,2004
Shinji Nishiwaki,3.0,2005
Shinji Nishiwaki,2.0,2006
Shinji Nishiwaki,3.0,2007
Shinji Nishiwaki,4.0,2008
Shinji Nishiwaki,2.0,2009
Shinji Nishiwaki,0,2010
Shinji Nishiwaki,0,2011
Shinji Nishiwaki,1.0,2012
Shinji Nishiwaki,0,2013
Shinji Nishiwaki,0,2014
Shinji Nishiwaki,0,2015
Georges M. Fadel,0,2002
Georges M. Fadel,1.0,2003
Georges M. Fadel,1.0,2004
Georges M. Fadel,3.0,2005
Georges M. Fadel,1.0,2006
Georges M. Fadel,0,2007
Georges M. Fadel,0,2008
Georges M. Fadel,1.0,2009
Georges M. Fadel,1.0,2010
Georges M. Fadel,0,2011
Georges M. Fadel,1.0,2012
Georges M. Fadel,0,2013
Georges M. Fadel,0,2014
Georges M. Fadel,0,2015
Mukul Karnik,0,2002
Mukul Karnik,0,2003
Mukul Karnik,1.0,2004
Mukul Karnik,0,2005
Mukul Karnik,0,2006
Mukul Karnik,0,2007
Mukul Karnik,0,2008
Mukul Karnik,0,2009
Mukul Karnik,0,2010
Mukul Karnik,0,2011
Mukul Karnik,0,2012
Mukul Karnik,0,2013
Mukul Karnik,0,2014
Mukul Karnik,0,2015
K. Weinert,0,2002
K. Weinert,0,2003
K. Weinert,1.0,2004
K. Weinert,0,2005
K. Weinert,0,2006
K. Weinert,0,2007
K. Weinert,0,2008
K. Weinert,0,2009
K. Weinert,0,2010
K. Weinert,0,2011
K. Weinert,0,2012
K. Weinert,0,2013
K. Weinert,0,2014
K. Weinert,0,2015
Meng-Sang Chew,0,2002
Meng-Sang Chew,0,2003
Meng-Sang Chew,1.0,2004
Meng-Sang Chew,0,2005
Meng-Sang Chew,0,2006
Meng-Sang Chew,0,2007
Meng-Sang Chew,0,2008
Meng-Sang Chew,0,2009
Meng-Sang Chew,0,2010
Meng-Sang Chew,0,2011
Meng-Sang Chew,0,2012
Meng-Sang Chew,0,2013
Meng-Sang Chew,0,2014
Meng-Sang Chew,0,2015
Yifan Chen,1.0,2002
Yifan Chen,0,2003
Yifan Chen,2.0,2004
Yifan Chen,1.0,2005
Yifan Chen,1.0,2006
Yifan Chen,1.0,2007
Yifan Chen,0,2008
Yifan Chen,0,2009
Yifan Chen,0,2010
Yifan Chen,0,2011
Yifan Chen,0,2012
Yifan Chen,0,2013
Yifan Chen,0,2014
Yifan Chen,0,2015
Agus Sudjianto,1.0,2002
Agus Sudjianto,5.0,2003
Agus Sudjianto,5.0,2004
Agus Sudjianto,0,2005
Agus Sudjianto,0,2006
Agus Sudjianto,0,2007
Agus Sudjianto,0,2008
Agus Sudjianto,0,2009
Agus Sudjianto,0,2010
Agus Sudjianto,0,2011
Agus Sudjianto,0,2012
Agus Sudjianto,0,2013
Agus Sudjianto,0,2014
Agus Sudjianto,0,2015
Kemper Lewis,2.0,2002
Kemper Lewis,2.0,2003
Kemper Lewis,2.0,2004
Kemper Lewis,4.0,2005
Kemper Lewis,1.0,2006
Kemper Lewis,2.0,2007
Kemper Lewis,1.0,2008
Kemper Lewis,1.0,2009
Kemper Lewis,2.0,2010
Kemper Lewis,3.0,2011
Kemper Lewis,2.0,2012
Kemper Lewis,2.0,2013
Kemper Lewis,2.0,2014
Kemper Lewis,2.0,2015
Pieter J. Stappers,0,2002
Pieter J. Stappers,0,2003
Pieter J. Stappers,1.0,2004
Pieter J. Stappers,0,2005
Pieter J. Stappers,0,2006
Pieter J. Stappers,0,2007
Pieter J. Stappers,0,2008
Pieter J. Stappers,0,2009
Pieter J. Stappers,0,2010
Pieter J. Stappers,0,2011
Pieter J. Stappers,0,2012
Pieter J. Stappers,0,2013
Pieter J. Stappers,0,2014
Pieter J. Stappers,0,2015
John E. Renaud,0,2002
John E. Renaud,2.0,2003
John E. Renaud,1.0,2004
John E. Renaud,0,2005
John E. Renaud,1.0,2006
John E. Renaud,2.0,2007
John E. Renaud,0,2008
John E. Renaud,1.0,2009
John E. Renaud,1.0,2010
John E. Renaud,0,2011
John E. Renaud,0,2012
John E. Renaud,0,2013
John E. Renaud,0,2014
John E. Renaud,0,2015
Mounib Mekhilef,0,2002
Mounib Mekhilef,2.0,2003
Mounib Mekhilef,2.0,2004
Mounib Mekhilef,2.0,2005
Mounib Mekhilef,0,2006
Mounib Mekhilef,0,2007
Mounib Mekhilef,0,2008
Mounib Mekhilef,0,2009
Mounib Mekhilef,0,2010
Mounib Mekhilef,0,2011
Mounib Mekhilef,0,2012
Mounib Mekhilef,0,2013
Mounib Mekhilef,0,2014
Mounib Mekhilef,0,2015
Nanxin Wang,0,2002
Nanxin Wang,0,2003
Nanxin Wang,1.0,2004
Nanxin Wang,0,2005
Nanxin Wang,2.0,2006
Nanxin Wang,1.0,2007
Nanxin Wang,1.0,2008
Nanxin Wang,1.0,2009
Nanxin Wang,0,2010
Nanxin Wang,0,2011
Nanxin Wang,0,2012
Nanxin Wang,0,2013
Nanxin Wang,0,2014
Nanxin Wang,0,2015
John Pieprzak,0,2002
John Pieprzak,0,2003
John Pieprzak,1.0,2004
John Pieprzak,0,2005
John Pieprzak,0,2006
John Pieprzak,0,2007
John Pieprzak,0,2008
John Pieprzak,0,2009
John Pieprzak,0,2010
John Pieprzak,0,2011
John Pieprzak,0,2012
John Pieprzak,0,2013
John Pieprzak,0,2014
John Pieprzak,0,2015
Joseph J. Beaman,0,2002
Joseph J. Beaman,0,2003
Joseph J. Beaman,1.0,2004
Joseph J. Beaman,0,2005
Joseph J. Beaman,0,2006
Joseph J. Beaman,0,2007
