key,value,date
Zhen Gao,0,2002
Zhen Gao,0,2003
Zhen Gao,0,2004
Zhen Gao,0,2005
Zhen Gao,0,2006
Zhen Gao,0,2007
Zhen Gao,2.0,2008
Zhen Gao,1.0,2009
Zhen Gao,0,2010
Zhen Gao,0,2011
Zhen Gao,0,2012
Zhen Gao,0,2013
Zhen Gao,0,2014
Zhen Gao,0,2015
Kyoung-Yun Joseph Kim,0,2002
Kyoung-Yun Joseph Kim,0,2003
Kyoung-Yun Joseph Kim,0,2004
Kyoung-Yun Joseph Kim,0,2005
Kyoung-Yun Joseph Kim,0,2006
Kyoung-Yun Joseph Kim,0,2007
Kyoung-Yun Joseph Kim,1.0,2008
Kyoung-Yun Joseph Kim,0,2009
Kyoung-Yun Joseph Kim,0,2010
Kyoung-Yun Joseph Kim,0,2011
Kyoung-Yun Joseph Kim,0,2012
Kyoung-Yun Joseph Kim,0,2013
Kyoung-Yun Joseph Kim,0,2014
Kyoung-Yun Joseph Kim,0,2015
Steven B. Shooter,0,2002
Steven B. Shooter,0,2003
Steven B. Shooter,1.0,2004
Steven B. Shooter,2.0,2005
Steven B. Shooter,2.0,2006
Steven B. Shooter,2.0,2007
Steven B. Shooter,2.0,2008
Steven B. Shooter,1.0,2009
Steven B. Shooter,0,2010
Steven B. Shooter,0,2011
Steven B. Shooter,0,2012
Steven B. Shooter,0,2013
Steven B. Shooter,0,2014
Steven B. Shooter,0,2015
Kazuhiro Izui,2.0,2002
Kazuhiro Izui,2.0,2003
Kazuhiro Izui,3.0,2004
Kazuhiro Izui,4.0,2005
Kazuhiro Izui,2.0,2006
Kazuhiro Izui,3.0,2007
Kazuhiro Izui,4.0,2008
Kazuhiro Izui,2.0,2009
Kazuhiro Izui,0,2010
Kazuhiro Izui,0,2011
Kazuhiro Izui,0,2012
Kazuhiro Izui,0,2013
Kazuhiro Izui,0,2014
Kazuhiro Izui,0,2015
Jiachuan Wang,0,2002
Jiachuan Wang,0,2003
Jiachuan Wang,0,2004
Jiachuan Wang,1.0,2005
Jiachuan Wang,0,2006
Jiachuan Wang,0,2007
Jiachuan Wang,2.0,2008
Jiachuan Wang,0,2009
Jiachuan Wang,0,2010
Jiachuan Wang,0,2011
Jiachuan Wang,0,2012
Jiachuan Wang,0,2013
Jiachuan Wang,0,2014
Jiachuan Wang,0,2015
Timothy W. Simpson,1.0,2002
Timothy W. Simpson,6.0,2003
