Aditya Soman,1.0,2002 
Aki M. Mikkola,1.0,2002 
Alain Remouchamps,1.0,2002 
AndrA(c) CA'tA",1.0,2002 
Asad A. Usman,1.0,2002 
Ashraf O. Nassef,2.0,2002 
Ashraf O. Nassef,2.0,2003 
Ashraf O. Nassef,1.0,2007 
Ashraf O. Nassef,2.0,2008 
Ashraf O. Nassef,1.0,2009 
Ashraf O. Nassef,3.0,2010 
Ashraf O. Nassef,2.0,2012 
Ashraf O. Nassef,4.0,2013 
Ashraf O. Nassef,3.0,2014 
Ashraf O. Nassef,2.0,2015 
C. Chassapis,2.0,2002 
C. Chassapis,1.0,2004 
C. Greg Jensen,1.0,2002 
C. Greg Jensen,1.0,2004 
Chin-Hsu Lin,2.0,2002 
David G. Beale,2.0,2002 
Derek Yip-Hoi,2.0,2002 
DAPrte Freisleben,1.0,2002 
El-Sayed Aziz,2.0,2002 
El-Sayed Aziz,1.0,2004 
Elisha Sacks,2.0,2002 
Fangshun Jin,1.0,2002 
Farrokh Mistree,3.0,2002 
Farrokh Mistree,1.0,2003 
Farrokh Mistree,2.0,2004 
Farrokh Mistree,5.0,2005 
Farrokh Mistree,4.0,2006 
Farrokh Mistree,3.0,2007 
Farrokh Mistree,1.0,2008 
Farrokh Mistree,3.0,2009 
Farrokh Mistree,2.0,2010 
Farrokh Mistree,1.0,2011 
Farrokh Mistree,3.0,2013 
Farrokh Mistree,5.0,2014 
Farrokh Mistree,2.0,2015 
Hiroshi Yamakawa,2.0,2002 
Hiroshi Yamakawa,1.0,2003 
Hiroshi Yamakawa,1.0,2006 
J. C. Yang,1.0,2002 
J. T. Wang,2.0,2002 
Janet K. Allen,3.0,2002 
Janet K. Allen,1.0,2003 
Janet K. Allen,2.0,2004 
Janet K. Allen,5.0,2005 
Janet K. Allen,4.0,2006 
Janet K. Allen,4.0,2007 
Janet K. Allen,1.0,2008 
Janet K. Allen,3.0,2009 
Janet K. Allen,2.0,2010 
Janet K. Allen,1.0,2011 
Janet K. Allen,3.0,2013 
Janet K. Allen,5.0,2014 
Janet K. Allen,2.0,2015 
Judy M. Vance,2.0,2002 
Judy M. Vance,1.0,2007 
Judy M. Vance,1.0,2009 
Kang Tai,2.0,2002 
Kazuhiro Izui,2.0,2002 
Kazuhiro Izui,2.0,2003 
Kazuhiro Izui,3.0,2004 
Kazuhiro Izui,4.0,2005 
Kazuhiro Izui,2.0,2006 
Kazuhiro Izui,3.0,2007 
Kazuhiro Izui,4.0,2008 
Kazuhiro Izui,2.0,2009 
Kazuhiro Saitou,2.0,2002 
Kazuhiro Saitou,5.0,2003 
Kazuhiro Saitou,1.0,2004 
Kazuhiro Saitou,2.0,2005 
Kazuhiro Saitou,2.0,2006 
Kazuhiro Saitou,1.0,2008 
Kazuhiro Saitou,1.0,2009 
Kazuhiro Saitou,3.0,2010 
Kazuhiro Saitou,3.0,2011 
Kazuhiro Saitou,1.0,2012 
Kazuhiro Saitou,2.0,2013 
Kazuhiro Saitou,2.0,2014 
Kazuhiro Saitou,1.0,2015 
Kemper Lewis,2.0,2002 
Kemper Lewis,2.0,2003 
Kemper Lewis,2.0,2004 
Kemper Lewis,4.0,2005 
Kemper Lewis,1.0,2006 
Kemper Lewis,2.0,2007 
Kemper Lewis,1.0,2008 
Kemper Lewis,1.0,2009 
Kemper Lewis,2.0,2010 
Kemper Lewis,3.0,2011 
Kemper Lewis,2.0,2012 
Kemper Lewis,2.0,2013 
Kemper Lewis,2.0,2014 
Kemper Lewis,2.0,2015 
Kenji Shimada,3.0,2002 
Kenji Shimada,1.0,2003 
Kenji Shimada,2.0,2004 
