Karim Hamza,2.0,2009 
Karim Hamza,3.0,2010 
Karim Hamza,4.0,2011 
Karim Hamza,3.0,2012 
Karim Hamza,5.0,2013 
Karim Hamza,5.0,2014 
Karim Hamza,4.0,2015 
Katja HAPlttA$?-Otto,1.0,2006 
Katja HAPlttA$?-Otto,1.0,2012 
Katja HAPlttA$?-Otto,1.0,2013 
Katja HAPlttA$?-Otto,2.0,2015 
Kemper Lewis,2.0,2002 
Kemper Lewis,2.0,2003 
Kemper Lewis,2.0,2004 
Kemper Lewis,4.0,2005 
Kemper Lewis,1.0,2006 
Kemper Lewis,2.0,2007 
Kemper Lewis,1.0,2008 
Kemper Lewis,1.0,2009 
Kemper Lewis,2.0,2010 
Kemper Lewis,3.0,2011 
Kemper Lewis,2.0,2012 
Kemper Lewis,2.0,2013 
Kemper Lewis,2.0,2014 
Kemper Lewis,2.0,2015 
Maria C. Yang,2.0,2011 
Maria C. Yang,2.0,2012 
Maria C. Yang,1.0,2013 
Maria C. Yang,1.0,2014 
Maria C. Yang,1.0,2015 
Matthew I. Campbell,1.0,2003 
Matthew I. Campbell,2.0,2004 
Matthew I. Campbell,1.0,2006 
Matthew I. Campbell,4.0,2007 
Matthew I. Campbell,1.0,2008 
Matthew I. Campbell,1.0,2009 
Matthew I. Campbell,2.0,2011 
Matthew I. Campbell,3.0,2012 
Matthew I. Campbell,2.0,2013 
Matthew I. Campbell,3.0,2015 
Minjung Kwak,2.0,2012 
Minjung Kwak,1.0,2013 
Monica Majcher,1.0,2012 
Monica Majcher,1.0,2014 
Monica Majcher,1.0,2015 
Panos Y. Papalambros,2.0,2002 
Panos Y. Papalambros,2.0,2003 
Panos Y. Papalambros,2.0,2004 
Panos Y. Papalambros,5.0,2005 
Panos Y. Papalambros,4.0,2006 
Panos Y. Papalambros,2.0,2007 
Panos Y. Papalambros,1.0,2008 
Panos Y. Papalambros,4.0,2010 
Panos Y. Papalambros,2.0,2011 
Panos Y. Papalambros,2.0,2012 
Panos Y. Papalambros,2.0,2013 
Panos Y. Papalambros,3.0,2014 
Panos Y. Papalambros,3.0,2015 
Paolo Guarneri,1.0,2011 
Paolo Guarneri,4.0,2012 
Patrick K. Lewis,1.0,2010 
Patrick K. Lewis,2.0,2011 
Patrick K. Lewis,2.0,2012 
Peter Y. Zhang,1.0,2012 
Phil Cormier,1.0,2010 
Phil Cormier,1.0,2011 
Phil Cormier,1.0,2012 
Pingfeng Wang,2.0,2007 
Pingfeng Wang,1.0,2008 
Pingfeng Wang,1.0,2011 
Pingfeng Wang,5.0,2012 
Pingfeng Wang,6.0,2013 
Pingfeng Wang,6.0,2014 
Pingfeng Wang,3.0,2015 
Po Ting Lin,1.0,2008 
Po Ting Lin,1.0,2009 
Po Ting Lin,1.0,2010 
Po Ting Lin,1.0,2011 
Po Ting Lin,1.0,2012 
Po Ting Lin,2.0,2014 
Po Ting Lin,1.0,2015 
Prasanna Tamilselvan,2.0,2012 
Prasanna Tamilselvan,1.0,2013 
Prasanna Tamilselvan,1.0,2015 
Ritesh Khire,2.0,2008 
Ritesh Khire,2.0,2012 
Sayed M. Metwalli,1.0,2002 
Sayed M. Metwalli,1.0,2003 
Sayed M. Metwalli,2.0,2005 
Sayed M. Metwalli,2.0,2007 
Sayed M. Metwalli,1.0,2008 
Sayed M. Metwalli,1.0,2009 
Sayed M. Metwalli,1.0,2010 
Sayed M. Metwalli,1.0,2011 
Sayed M. Metwalli,2.0,2012 
Sayed M. Metwalli,1.0,2013 
Sayed M. Metwalli,1.0,2014 
Sayed M. Metwalli,1.0,2015 
Scott Ferguson,1.0,2005 
Scott Ferguson,1.0,2007 
Scott Ferguson,1.0,2009 
Scott Ferguson,2.0,2010 
