key,value,date
Conrad S. Tucker,0,2002
Conrad S. Tucker,0,2003
Conrad S. Tucker,0,2004
Conrad S. Tucker,0,2005
Conrad S. Tucker,0,2006
Conrad S. Tucker,1.0,2007
Conrad S. Tucker,0,2008
Conrad S. Tucker,1.0,2009
Conrad S. Tucker,1.0,2010
Conrad S. Tucker,0,2011
Conrad S. Tucker,2.0,2012
Conrad S. Tucker,1.0,2013
Conrad S. Tucker,0,2014
Conrad S. Tucker,2.0,2015
Mohamed Aly,0,2002
Mohamed Aly,0,2003
Mohamed Aly,0,2004
Mohamed Aly,0,2005
Mohamed Aly,0,2006
Mohamed Aly,0,2007
Mohamed Aly,0,2008
Mohamed Aly,0,2009
Mohamed Aly,0,2010
Mohamed Aly,0,2011
Mohamed Aly,0,2012
Mohamed Aly,2.0,2013
Mohamed Aly,2.0,2014
Mohamed Aly,2.0,2015
Christopher M. Spadaccini,0,2002
Christopher M. Spadaccini,0,2003
Christopher M. Spadaccini,0,2004
Christopher M. Spadaccini,0,2005
Christopher M. Spadaccini,0,2006
Christopher M. Spadaccini,0,2007
Christopher M. Spadaccini,0,2008
Christopher M. Spadaccini,0,2009
Christopher M. Spadaccini,0,2010
Christopher M. Spadaccini,0,2011
Christopher M. Spadaccini,0,2012
Christopher M. Spadaccini,0,2013
Christopher M. Spadaccini,0,2014
Christopher M. Spadaccini,2.0,2015
Timothy W. Simpson,1.0,2002
Timothy W. Simpson,6.0,2003
Timothy W. Simpson,4.0,2004
Timothy W. Simpson,7.0,2005
Timothy W. Simpson,9.0,2006
Timothy W. Simpson,5.0,2007
Timothy W. Simpson,8.0,2008
Timothy W. Simpson,4.0,2009
Timothy W. Simpson,2.0,2010
Timothy W. Simpson,3.0,2011
Timothy W. Simpson,2.0,2012
Timothy W. Simpson,4.0,2013
Timothy W. Simpson,2.0,2014
Timothy W. Simpson,4.0,2015
Nathan G. Johnson,0,2002
Nathan G. Johnson,0,2003
Nathan G. Johnson,0,2004
Nathan G. Johnson,0,2005
Nathan G. Johnson,0,2006
Nathan G. Johnson,0,2007
Nathan G. Johnson,0,2008
Nathan G. Johnson,0,2009
Nathan G. Johnson,0,2010
Nathan G. Johnson,1.0,2011
Nathan G. Johnson,0,2012
Nathan G. Johnson,2.0,2013
Nathan G. Johnson,2.0,2014
Nathan G. Johnson,2.0,2015
Panos Y. Papalambros,2.0,2002
Panos Y. Papalambros,2.0,2003
Panos Y. Papalambros,2.0,2004
Panos Y. Papalambros,5.0,2005
Panos Y. Papalambros,4.0,2006
Panos Y. Papalambros,2.0,2007
Panos Y. Papalambros,1.0,2008
Panos Y. Papalambros,0,2009
Panos Y. Papalambros,4.0,2010
Panos Y. Papalambros,2.0,2011
Panos Y. Papalambros,2.0,2012
Panos Y. Papalambros,2.0,2013
Panos Y. Papalambros,3.0,2014
Panos Y. Papalambros,3.0,2015
Farrokh Mistree,3.0,2002
Farrokh Mistree,1.0,2003
Farrokh Mistree,2.0,2004
Farrokh Mistree,5.0,2005
Farrokh Mistree,4.0,2006
Farrokh Mistree,3.0,2007
Farrokh Mistree,1.0,2008
Farrokh Mistree,3.0,2009
Farrokh Mistree,2.0,2010
Farrokh Mistree,1.0,2011
Farrokh Mistree,0,2012
Farrokh Mistree,3.0,2013
Farrokh Mistree,5.0,2014
Farrokh Mistree,2.0,2015
David W. Rosen,1.0,2002
David W. Rosen,0,2003
David W. Rosen,0,2004
David W. Rosen,1.0,2005
David W. Rosen,0,2006
David W. Rosen,0,2007
David W. Rosen,0,2008
David W. Rosen,0,2009
David W. Rosen,0,2010
David W. Rosen,0,2011
David W. Rosen,1.0,2012
David W. Rosen,0,2013
David W. Rosen,1.0,2014
David W. Rosen,2.0,2015
Francesco Iorio,0,2002
Francesco Iorio,0,2003
Francesco Iorio,0,2004
Francesco Iorio,0,2005
Francesco Iorio,0,2006
Francesco Iorio,0,2007
Francesco Iorio,0,2008
Francesco Iorio,0,2009
Francesco Iorio,0,2010
Francesco Iorio,0,2011
Francesco Iorio,0,2012
Francesco Iorio,0,2013
Francesco Iorio,0,2014
Francesco Iorio,2.0,2015
Mian Li,0,2002
Mian Li,0,2003
Mian Li,0,2004
Mian Li,1.0,2005
Mian Li,1.0,2006
Mian Li,1.0,2007
Mian Li,0,2008
Mian Li,0,2009
Mian Li,1.0,2010
Mian Li,0,2011
Mian Li,1.0,2012
Mian Li,2.0,2013
Mian Li,2.0,2014
Mian Li,2.0,2015
David A. Romero,0,2002
David A. Romero,0,2003
David A. Romero,0,2004
David A. Romero,0,2005
David A. Romero,1.0,2006
David A. Romero,0,2007
David A. Romero,1.0,2008
David A. Romero,1.0,2009
David A. Romero,1.0,2010
David A. Romero,1.0,2011
David A. Romero,0,2012
David A. Romero,0,2013
David A. Romero,0,2014
David A. Romero,2.0,2015
Ashraf O. Nassef,2.0,2002
Ashraf O. Nassef,2.0,2003
Ashraf O. Nassef,0,2004
Ashraf O. Nassef,0,2005
Ashraf O. Nassef,0,2006
Ashraf O. Nassef,1.0,2007
Ashraf O. Nassef,2.0,2008
Ashraf O. Nassef,1.0,2009
Ashraf O. Nassef,3.0,2010
Ashraf O. Nassef,0,2011
Ashraf O. Nassef,2.0,2012
Ashraf O. Nassef,4.0,2013
Ashraf O. Nassef,3.0,2014
Ashraf O. Nassef,2.0,2015
Karim Hamza,0,2002
Karim Hamza,2.0,2003
Karim Hamza,0,2004
Karim Hamza,1.0,2005
Karim Hamza,1.0,2006
Karim Hamza,0,2007
Karim Hamza,0,2008
Karim Hamza,2.0,2009
Karim Hamza,3.0,2010
Karim Hamza,4.0,2011
Karim Hamza,3.0,2012
Karim Hamza,5.0,2013
Karim Hamza,5.0,2014
Karim Hamza,4.0,2015
Hyunmin Cheong,0,2002
Hyunmin Cheong,0,2003
Hyunmin Cheong,0,2004
Hyunmin Cheong,0,2005
Hyunmin Cheong,0,2006
Hyunmin Cheong,0,2007
Hyunmin Cheong,0,2008
Hyunmin Cheong,0,2009
Hyunmin Cheong,0,2010
Hyunmin Cheong,0,2011
Hyunmin Cheong,0,2012
Hyunmin Cheong,0,2013
Hyunmin Cheong,0,2014
Hyunmin Cheong,2.0,2015
Uday P. Singh,0,2002
Uday P. Singh,0,2003
Uday P. Singh,0,2004
Uday P. Singh,0,2005
Uday P. Singh,0,2006
Uday P. Singh,0,2007
Uday P. Singh,0,2008
Uday P. Singh,0,2009
Uday P. Singh,0,2010
Uday P. Singh,0,2011
Uday P. Singh,0,2012
Uday P. Singh,0,2013
Uday P. Singh,0,2014
Uday P. Singh,1.0,2015
Amos G. Winter,0,2002
Amos G. Winter,0,2003
Amos G. Winter,0,2004
Amos G. Winter,0,2005
Amos G. Winter,0,2006
Amos G. Winter,0,2007
Amos G. Winter,0,2008
Amos G. Winter,0,2009
Amos G. Winter,0,2010
Amos G. Winter,0,2011
Amos G. Winter,0,2012
Amos G. Winter,0,2013
Amos G. Winter,0,2014
Amos G. Winter,0,2015
Alparslan Emrah Bayrak,0,2002
Alparslan Emrah Bayrak,0,2003
Alparslan Emrah Bayrak,0,2004
Alparslan Emrah Bayrak,0,2005
Alparslan Emrah Bayrak,0,2006
Alparslan Emrah Bayrak,0,2007
Alparslan Emrah Bayrak,0,2008
Alparslan Emrah Bayrak,0,2009
Alparslan Emrah Bayrak,0,2010
Alparslan Emrah Bayrak,0,2011
Alparslan Emrah Bayrak,0,2012
Alparslan Emrah Bayrak,0,2013
Alparslan Emrah Bayrak,0,2014
Alparslan Emrah Bayrak,2.0,2015
Zhen Hu,0,2002
Zhen Hu,0,2003
Zhen Hu,0,2004
Zhen Hu,0,2005
Zhen Hu,0,2006
Zhen Hu,0,2007
Zhen Hu,0,2008
Zhen Hu,0,2009
Zhen Hu,0,2010
Zhen Hu,0,2011
Zhen Hu,1.0,2012
Zhen Hu,2.0,2013
Zhen Hu,1.0,2014
Zhen Hu,2.0,2015
Georges Fadel,0,2002
Georges Fadel,0,2003
Georges Fadel,1.0,2004
Georges Fadel,0,2005
Georges Fadel,2.0,2006
Georges Fadel,1.0,2007
Georges Fadel,1.0,2008
Georges Fadel,1.0,2009
Georges Fadel,0,2010
Georges Fadel,1.0,2011
Georges Fadel,3.0,2012
Georges Fadel,0,2013
Georges Fadel,3.0,2014
Georges Fadel,2.0,2015
Wei Chen,3.0,2002
Wei Chen,3.0,2003
Wei Chen,3.0,2004
Wei Chen,2.0,2005
Wei Chen,3.0,2006
Wei Chen,4.0,2007
Wei Chen,3.0,2008
Wei Chen,8.0,2009
Wei Chen,3.0,2010
Wei Chen,4.0,2011
Wei Chen,3.0,2012
Wei Chen,3.0,2013
Wei Chen,2.0,2014
Wei Chen,2.0,2015
Cristina H. Amon,0,2002
Cristina H. Amon,0,2003
Cristina H. Amon,0,2004
Cristina H. Amon,0,2005
Cristina H. Amon,1.0,2006
Cristina H. Amon,0,2007
Cristina H. Amon,1.0,2008
Cristina H. Amon,0,2009
Cristina H. Amon,1.0,2010
Cristina H. Amon,0,2011
Cristina H. Amon,0,2012
Cristina H. Amon,0,2013
Cristina H. Amon,0,2014
Cristina H. Amon,2.0,2015
Katja HAPlttA$?-Otto,0,2002
Katja HAPlttA$?-Otto,0,2003
Katja HAPlttA$?-Otto,0,2004
Katja HAPlttA$?-Otto,0,2005
Katja HAPlttA$?-Otto,1.0,2006
Katja HAPlttA$?-Otto,0,2007
Katja HAPlttA$?-Otto,0,2008
Katja HAPlttA$?-Otto,0,2009
Katja HAPlttA$?-Otto,0,2010
Katja HAPlttA$?-Otto,0,2011
Katja HAPlttA$?-Otto,1.0,2012
Katja HAPlttA$?-Otto,1.0,2013
Katja HAPlttA$?-Otto,0,2014
Katja HAPlttA$?-Otto,2.0,2015
James T. Allison,0,2002
James T. Allison,0,2003
James T. Allison,0,2004
James T. Allison,0,2005
James T. Allison,0,2006
James T. Allison,1.0,2007
James T. Allison,1.0,2008
James T. Allison,0,2009
James T. Allison,3.0,2010
James T. Allison,1.0,2011
James T. Allison,1.0,2012
James T. Allison,3.0,2013
James T. Allison,2.0,2014
James T. Allison,2.0,2015
Jonathan B. Hopkins,0,2002
Jonathan B. Hopkins,0,2003
Jonathan B. Hopkins,0,2004
Jonathan B. Hopkins,0,2005
Jonathan B. Hopkins,0,2006
Jonathan B. Hopkins,0,2007
Jonathan B. Hopkins,0,2008
Jonathan B. Hopkins,0,2009
Jonathan B. Hopkins,0,2010
Jonathan B. Hopkins,0,2011
Jonathan B. Hopkins,0,2012
Jonathan B. Hopkins,0,2013
Jonathan B. Hopkins,0,2014
Jonathan B. Hopkins,2.0,2015
David Lamb,0,2002
David Lamb,0,2003
David Lamb,0,2004
David Lamb,0,2005
David Lamb,0,2006
David Lamb,0,2007
David Lamb,0,2008
David Lamb,1.0,2009
David Lamb,0,2010
David Lamb,1.0,2011
David Lamb,1.0,2012
David Lamb,0,2013
David Lamb,1.0,2014
David Lamb,3.0,2015
Zhimin Xi,0,2002
Zhimin Xi,0,2003
Zhimin Xi,0,2004
Zhimin Xi,0,2005
Zhimin Xi,0,2006
Zhimin Xi,4.0,2007
Zhimin Xi,2.0,2008
Zhimin Xi,1.0,2009
Zhimin Xi,1.0,2010
Zhimin Xi,1.0,2011
Zhimin Xi,2.0,2012
Zhimin Xi,1.0,2013
Zhimin Xi,1.0,2014
Zhimin Xi,3.0,2015
Zissimos P. Mourelatos,0,2002
Zissimos P. Mourelatos,3.0,2003
Zissimos P. Mourelatos,3.0,2004
Zissimos P. Mourelatos,2.0,2005
Zissimos P. Mourelatos,2.0,2006
Zissimos P. Mourelatos,2.0,2007
Zissimos P. Mourelatos,2.0,2008
Zissimos P. Mourelatos,2.0,2009
Zissimos P. Mourelatos,4.0,2010
Zissimos P. Mourelatos,3.0,2011
Zissimos P. Mourelatos,3.0,2012
Zissimos P. Mourelatos,4.0,2013
Zissimos P. Mourelatos,5.0,2014
Zissimos P. Mourelatos,3.0,2015
Namwoo Kang,0,2002
Namwoo Kang,0,2003
Namwoo Kang,0,2004
Namwoo Kang,0,2005
Namwoo Kang,0,2006
Namwoo Kang,0,2007
Namwoo Kang,0,2008
Namwoo Kang,0,2009
Namwoo Kang,0,2010
Namwoo Kang,0,2011
Namwoo Kang,0,2012
Namwoo Kang,0,2013
Namwoo Kang,1.0,2014
Namwoo Kang,2.0,2015
Ren-Jye Yang,0,2002
Ren-Jye Yang,0,2003
Ren-Jye Yang,0,2004
Ren-Jye Yang,0,2005
Ren-Jye Yang,0,2006
Ren-Jye Yang,0,2007
Ren-Jye Yang,0,2008
Ren-Jye Yang,0,2009
Ren-Jye Yang,0,2010
Ren-Jye Yang,0,2011
Ren-Jye Yang,1.0,2012
Ren-Jye Yang,1.0,2013
Ren-Jye Yang,0,2014
Ren-Jye Yang,2.0,2015
Hyunkyoo Cho,0,2002
Hyunkyoo Cho,0,2003
Hyunkyoo Cho,0,2004
Hyunkyoo Cho,0,2005
Hyunkyoo Cho,0,2006
Hyunkyoo Cho,0,2007
Hyunkyoo Cho,0,2008
Hyunkyoo Cho,0,2009
Hyunkyoo Cho,0,2010
Hyunkyoo Cho,0,2011
Hyunkyoo Cho,1.0,2012
Hyunkyoo Cho,0,2013
Hyunkyoo Cho,1.0,2014
Hyunkyoo Cho,3.0,2015
Wei Li,0,2002
Wei Li,0,2003
Wei Li,0,2004
Wei Li,1.0,2005
Wei Li,1.0,2006
Wei Li,0,2007
Wei Li,0,2008
Wei Li,1.0,2009
Wei Li,0,2010
Wei Li,0,2011
Wei Li,0,2012
Wei Li,0,2013
Wei Li,1.0,2014
